Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/award/award_nominee/award_nominations./award/award_nomination/award	1067	172.27	25.77	4.5	11.1	140.72	36.6	10.22	18.54
/base/aareas/schema/administrative_area/administrative_parent	25	113.44	42.0	38.0	40.53	64.94	78.0	54.0	61.33
/tv/tv_program/program_creator	2	399.0	0.0	0.0	1.94	399.0	0.0	0.0	1.94
/music/performance_role/regular_performances./music/group_membership/group	167	49.05	43.11	5.09	15.2	18.58	62.87	23.35	37.74
/people/ethnicity/geographic_distribution	17	52.32	47.06	11.76	22.38	46.18	50.0	11.76	23.71
/music/performance_role/track_performances./music/track_contribution/role	53	45.78	9.43	0.0	4.12	20.33	44.34	0.0	11.3
/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person	7	1161.64	42.86	28.57	33.64	1147.86	42.86	35.71	37.42
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language	21	39.83	52.38	30.95	36.49	11.86	66.67	33.33	44.01
/award/award_winning_work/awards_won./award/award_honor/honored_for	10	18.55	15.0	0.0	7.0	9.55	90.0	0.0	24.61
/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed	21	18.6	66.67	9.52	27.05	4.64	88.1	64.29	71.31
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	16	107.41	21.88	0.0	7.94	103.06	53.13	0.0	12.44
/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school	42	54.36	40.48	7.14	16.19	48.4	50.0	8.33	19.84
/tv/tv_program/genre	94	54.39	35.11	5.85	15.79	39.95	45.74	14.36	24.67
/film/film/film_festivals	18	533.36	44.44	13.89	24.45	526.11	44.44	16.67	26.56
/location/location/contains	330	430.59	27.73	4.7	12.92	326.42	32.27	13.03	19.48
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source	84	444.23	50.0	50.0	50.06	28.95	69.64	50.0	56.04
/sports/sports_league/teams./sports/sports_league_participation/team	16	38.78	53.13	40.63	46.86	26.88	65.63	46.88	54.72
/people/person/spouse_s./people/marriage/spouse	4	830.13	0.0	0.0	0.61	829.88	0.0	0.0	0.61
/film/film/distributors./film/film_film_distributor_relationship/region	10	186.9	50.0	50.0	50.21	125.0	50.0	50.0	50.75
