Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/base/locations/continents/countries_within	5	28.5	50.0	40.0	43.49	11.8	80.0	40.0	47.45
/award/award_winning_work/awards_won./award/award_honor/award	118	158.0	15.25	1.69	6.05	143.35	30.08	3.81	11.33
/organization/organization/child./organization/organization_relationship/child	20	1755.1	7.5	2.5	3.91	1753.15	10.0	2.5	4.07
/film/film/genre	722	446.51	16.76	0.21	4.61	267.57	27.15	4.99	11.59
/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics	31	57.03	38.71	9.68	18.39	14.21	54.84	24.19	34.54
/people/person/place_of_birth	170	3575.36	2.35	0.88	1.35	3554.82	2.35	0.88	1.4
/language/human_language/countries_spoken_in	25	79.82	18.0	2.0	7.35	71.6	24.0	4.0	11.47
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend	1	32.0	0.0	0.0	4.01	29.5	0.0	0.0	4.13
/education/educational_institution/campuses	13	1.0	100.0	100.0	100.0	1.0	100.0	100.0	100.0
/base/culturalevent/event/entity_involved	20	2197.25	17.5	0.0	4.44	2194.43	17.5	7.5	11.25
/award/award_category/winners./award/award_honor/award_winner	217	461.91	11.75	0.92	5.08	446.61	20.74	3.23	8.57
/organization/organization/headquarters./location/mailing_address/country	7	1561.0	42.86	35.71	39.4	1481.14	42.86	35.71	40.29
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency	5	188.8	50.0	40.0	42.65	73.4	50.0	40.0	42.94
/olympics/olympic_games/sports	13	19.92	7.69	0.0	5.82	3.92	96.15	3.85	32.83
/sports/sports_team/sport	53	157.84	49.06	49.06	49.81	60.6	75.47	64.15	67.38
/people/profession/specialization_of	13	4533.04	7.69	3.85	5.45	4530.38	7.69	3.85	5.56
/award/award_category/winners./award/award_honor/ceremony	323	33.06	19.97	2.01	8.86	3.74	94.74	51.39	66.35
/music/instrument/instrumentalists	153	291.01	12.42	0.0	4.22	223.47	22.55	1.96	8.05
/medicine/disease/risk_factors	13	598.58	19.23	0.0	6.78	590.77	30.77	15.38	20.82
/award/award_winning_work/awards_won./award/award_honor/award_winner	24	703.46	10.42	0.0	3.53	700.73	12.5	0.0	4.39
/sports/sports_team/colors	77	196.11	38.31	0.0	11.0	133.35	43.51	7.79	18.66
/music/performance_role/guest_performances./music/recording_contribution/performance_role	2	39.5	0.0	0.0	2.72	35.25	0.0	0.0	3.01
/award/ranked_item/appears_in_ranked_lists./award/ranking/list	48	139.51	51.04	25.0	34.88	103.81	68.75	47.92	55.34
/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency	3	189.83	50.0	33.33	41.89	75.0	50.0	33.33	42.04
/education/educational_degree/people_with_this_degree./education/education/institution	287	185.17	25.78	1.22	7.74	71.85	51.57	9.41	21.67
/film/film/costume_design_by	13	819.69	15.38	7.69	11.35	813.42	23.08	7.69	11.95
/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type	11	88.0	50.0	50.0	50.31	22.09	68.18	54.55	60.48
/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance	3	277.0	50.0	50.0	50.17	257.17	50.0	50.0	50.21
/film/film/written_by	26	2027.98	3.85	1.92	3.01	2026.63	5.77	1.92	3.19
/location/statistical_region/religions./location/religion_percentage/religion	60	126.7	22.5	1.67	9.06	107.34	75.83	27.5	44.72
/government/governmental_body/members./government/government_position_held/legislative_sessions	12	21.29	54.17	12.5	34.46	1.04	100.0	95.83	97.92
/education/university/fraternities_and_sororities	21	72.38	50.0	23.81	35.46	38.81	52.38	40.48	45.51
/soccer/football_team/current_roster./soccer/football_roster_position/position	10	333.3	50.0	0.0	12.33	50.0	50.0	30.0	40.62
/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation	20	24.95	52.5	2.5	22.62	2.1	100.0	75.0	81.22
/film/film/dubbing_performances./film/dubbing_performance/actor	8	70.5	31.25	6.25	13.42	66.25	37.5	6.25	20.23
/military/military_combatant/military_conflicts./military/military_combatant_group/combatants	17	25.26	8.82	0.0	5.0	10.15	76.47	5.88	20.44
/film/actor/film./film/performance/film	836	1494.5	2.63	0.12	1.21	1486.95	5.14	1.32	2.74
