Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	53	979.65	48.11	37.74	41.84	749.24	49.06	39.62	43.67
/education/educational_institution/students_graduates./education/education/major_field_of_study	321	219.81	7.48	1.25	4.21	181.98	21.96	4.83	10.66
/education/university/local_tuition./measurement_unit/dated_money_value/currency	1	234.5	50.0	50.0	50.11	83.5	50.0	50.0	50.3
/film/film/produced_by	60	1290.15	15.83	4.17	8.46	1285.69	20.0	7.5	11.45
/organization/role/leaders./organization/leadership/organization	70	220.73	48.57	31.43	38.81	80.29	52.86	33.57	41.39
/film/film/story_by	31	863.55	24.19	8.06	13.62	860.97	25.81	11.29	17.7
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school	86	129.9	11.63	1.74	5.56	111.03	21.51	2.91	8.67
/award/award_category/disciplines_or_subjects	15	139.1	43.33	6.67	19.43	127.7	56.67	30.0	41.94
/award/award_ceremony/awards_presented./award/award_honor/award_winner	317	450.34	17.19	2.68	7.93	434.58	23.82	8.36	13.74
/base/americancomedy/celebrity_impressionist/celebrities_impersonated	8	821.31	18.75	12.5	16.36	790.63	18.75	12.5	16.42
/sports/sports_team/roster./baseball/baseball_roster_position/position	3	22.17	50.0	0.0	12.68	3.5	100.0	16.67	40.83
/people/deceased_person/place_of_death	78	2654.16	9.62	3.85	5.2	2634.21	10.26	3.85	5.4
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	132	901.41	9.47	1.52	4.19	895.11	13.64	3.79	7.31
/film/film/language	314	721.66	35.03	10.67	18.85	219.02	48.09	13.69	26.91
/medicine/symptom/symptom_of	31	20.37	43.55	0.0	10.6	10.73	69.35	11.29	29.55
/base/popstra/celebrity/canoodled./base/popstra/canoodled/participant	1	173.5	0.0	0.0	0.6	173.5	0.0	0.0	0.6
/government/legislative_session/members./government/government_position_held/district_represented	117	24.33	18.8	0.85	7.92	2.49	95.3	64.1	74.57
/location/us_county/county_seat	2	108.5	0.0	0.0	0.92	108.5	0.0	0.0	0.92
/film/film_subject/films	77	2115.5	9.74	1.95	4.88	2107.25	10.39	2.6	5.98
/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film	160	624.74	18.13	0.94	6.54	568.81	22.5	5.0	10.51
/base/popstra/celebrity/friendship./base/popstra/friendship/participant	32	2856.06	1.56	0.0	1.08	2852.92	3.13	1.56	2.2
/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy	50	1233.02	44.0	42.0	43.0	1011.48	51.0	42.0	44.91
/location/country/second_level_divisions	46	347.63	48.91	47.83	48.49	169.72	63.04	50.0	55.4
/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency	3	116.17	50.0	16.67	34.95	58.5	50.0	33.33	43.39
/base/schemastaging/person_extra/net_worth./measurement_unit/dated_money_value/currency	60	667.31	45.83	30.0	35.63	419.99	50.0	30.0	37.63
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location	38	78.26	35.53	10.53	16.9	59.71	48.68	13.16	23.51
/organization/organization/place_founded	16	1882.09	6.25	3.13	4.57	1881.09	6.25	3.13	4.59
/music/performance_role/regular_performances./music/group_membership/role	40	53.14	3.75	0.0	3.34	23.29	36.25	6.25	15.8
/music/group_member/membership./music/group_membership/role	29	137.29	24.14	3.45	8.2	114.64	27.59	5.17	12.21
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft	43	13.56	54.65	2.33	15.46	2.48	100.0	41.86	61.81
/influence/influence_node/peers./influence/peer_relationship/peers	2	1279.0	0.0	0.0	0.13	1278.25	0.0	0.0	0.13
/base/eating/practicer_of_diet/diet	11	976.86	31.82	22.73	27.98	941.32	31.82	27.27	30.33
/people/person/employment_history./business/employment_tenure/company	24	1159.06	6.25	4.17	6.1	1156.98	8.33	6.25	7.28
/film/film/edited_by	13	882.5	11.54	0.0	4.91	876.27	11.54	3.85	6.88
/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency	4	127.0	50.0	50.0	50.2	17.75	62.5	50.0	53.26
/film/film/music	92	1424.83	5.43	0.54	2.24	1418.53	5.43	0.54	2.28
/tv/tv_producer/programs_produced./tv/tv_producer_term/program	4	247.63	25.0	0.0	8.17	241.88	37.5	25.0	29.2
/education/educational_institution/school_type	80	177.36	46.25	10.63	22.71	103.36	51.25	19.38	30.3
/location/country/capital	11	2738.59	13.64	0.0	2.2	2737.36	13.64	0.0	2.55
/government/legislative_session/members./government/government_position_held/legislative_sessions	13	15.46	19.23	0.0	8.06	3.85	100.0	19.23	41.75
/location/hud_county_place/place	48	44.6	83.33	62.5	70.7	44.6	83.33	62.5	70.7
/people/person/spouse_s./people/marriage/location_of_ceremony	35	2187.76	5.71	1.43	3.2	2185.13	5.71	1.43	3.21
/award/award_ceremony/awards_presented./award/award_honor/honored_for	121	395.73	12.81	0.83	5.26	389.44	16.94	2.89	8.24
/user/ktrueman/default_domain/international_organization/member_states	24	52.13	52.08	31.25	38.6	7.13	83.33	50.0	59.79
/film/film/runtime./film/film_cut/film_release_region	9	840.44	5.56	0.0	2.01	836.33	5.56	0.0	2.16
/sports/sport/pro_athletes./sports/pro_sports_played/athlete	17	574.44	44.12	23.53	31.15	557.68	64.71	38.24	47.9
/base/popstra/celebrity/dated./base/popstra/dated/participant	11	2209.18	0.0	0.0	0.34	2207.14	0.0	0.0	0.34
/base/biblioness/bibs_location/state	7	277.21	28.57	14.29	20.98	267.29	35.71	14.29	22.44
/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency	22	101.02	50.0	50.0	50.31	30.02	79.55	61.36	67.59
/award/award_category/category_of	20	1192.67	42.5	40.0	42.23	1176.17	72.5	70.0	71.61
/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club	29	187.66	15.52	1.72	6.92	182.5	20.69	1.72	8.2
/people/person/religion	127	1048.28	22.83	5.51	11.76	964.76	24.8	7.09	13.69
/film/film/executive_produced_by	73	862.62	17.12	2.05	7.02	853.97	21.23	7.53	11.62
/business/job_title/people_with_this_title./business/employment_tenure/company	85	462.15	28.82	1.76	8.69	434.92	40.59	11.76	21.67
/location/country/official_language	16	419.56	21.88	3.13	9.82	405.69	21.88	6.25	12.32
/film/film/film_format	39	534.72	39.74	29.49	33.86	456.77	39.74	30.77	34.75
/media_common/netflix_genre/titles	124	556.89	28.23	6.85	14.1	473.37	33.06	11.69	18.92
/film/film/featured_film_locations	100	1203.18	5.0	1.5	3.17	1177.72	5.5	2.0	3.7
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium	158	740.86	50.0	41.14	44.91	56.5	54.11	44.94	48.9
/location/location/partially_contains	13	1312.42	38.46	7.69	15.64	1309.5	38.46	19.23	24.57
/sports/sports_team/roster./american_football/football_historical_roster_position/position_s	1	41.0	0.0	0.0	4.57	21.0	50.0	0.0	9.72
/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country	258	55.21	15.89	0.19	5.89	13.9	59.88	15.7	28.61
/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month	60	25.01	28.33	0.83	8.4	1.08	100.0	97.5	98.43
