Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/music/artist/contribution./music/recording_contribution/performance_role	14	262.18	42.86	7.14	17.31	251.57	42.86	17.86	27.38
/medicine/disease/notable_people_with_this_condition	15	863.2	36.67	13.33	20.73	856.43	36.67	16.67	22.45
/education/educational_degree/people_with_this_degree./education/education/major_field_of_study	63	36.6	41.27	0.0	8.98	12.48	78.57	31.75	46.63
/sports/pro_athlete/teams./sports/sports_team_roster/team	16	71.78	34.38	3.13	13.17	68.56	37.5	6.25	16.36
/government/politician/government_positions_held./government/government_position_held/basic_title	16	25.09	50.0	9.38	23.26	13.44	71.88	37.5	45.51
/base/localfood/seasonal_month/produce_available./base/localfood/produce_availability/seasonal_months	3	11.5	0.0	0.0	8.71	2.83	100.0	0.0	37.5
/sports/sports_team/roster./basketball/basketball_roster_position/position	2	24.25	50.0	0.0	19.86	6.0	75.0	25.0	42.36
/tv/tv_program/country_of_origin	32	162.95	51.56	35.94	41.68	75.45	60.94	37.5	46.06
/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium	38	91.68	51.32	18.42	29.96	46.59	78.95	39.47	53.17
/people/person/gender	436	1499.51	50.0	44.61	47.31	167.2	61.93	48.05	53.41
/film/actor/film./film/performance/special_performance_type	16	481.31	50.0	43.75	47.09	425.97	53.13	50.0	52.0
/education/educational_institution_campus/educational_institution	13	10.0	57.69	23.08	36.39	10.0	57.69	23.08	36.39
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee	27	369.81	50.0	42.59	44.75	342.22	57.41	46.3	49.58
/music/record_label/artist	266	360.17	20.11	0.38	6.18	331.73	28.76	6.2	13.42
/award/award_nominee/award_nominations./award/award_nomination/award	1067	182.52	22.12	1.27	7.31	139.61	42.22	10.31	20.36
/base/aareas/schema/administrative_area/administrative_parent	25	143.38	42.0	42.0	42.68	73.42	82.0	66.0	71.03
/tv/tv_program/program_creator	2	1871.5	0.0	0.0	0.88	1871.25	0.0	0.0	0.88
/music/performance_role/regular_performances./music/group_membership/group	167	67.03	32.34	0.3	7.03	18.87	66.47	26.05	40.17
/people/ethnicity/geographic_distribution	17	91.91	50.0	17.65	29.7	84.71	64.71	29.41	43.48
/music/performance_role/track_performances./music/track_contribution/role	53	65.77	0.94	0.0	2.03	22.35	23.58	2.83	9.81
/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person	7	1383.07	42.86	28.57	36.41	1366.14	57.14	42.86	48.96
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language	21	46.19	52.38	26.19	34.69	5.79	88.1	54.76	64.77
/award/award_winning_work/awards_won./award/award_honor/honored_for	10	33.2	0.0	0.0	5.25	21.25	90.0	5.0	27.06
/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed	21	24.52	50.0	0.0	11.81	1.74	97.62	71.43	82.52
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	16	40.84	50.0	0.0	13.54	36.28	81.25	3.13	31.49
/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school	42	39.36	34.52	2.38	11.69	30.61	48.81	7.14	20.27
/tv/tv_program/genre	94	50.71	36.7	1.06	11.17	27.12	65.43	26.06	38.83
/film/film/film_festivals	18	102.86	44.44	16.67	28.34	95.03	52.78	25.0	33.97
/location/location/contains	330	331.2	41.21	2.88	16.08	222.3	49.24	22.73	31.83
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source	84	472.85	50.0	50.0	50.05	37.63	57.74	51.19	53.25
/sports/sports_league/teams./sports/sports_league_participation/team	16	31.44	53.13	43.75	47.09	17.66	84.38	59.38	65.24
/people/person/spouse_s./people/marriage/spouse	4	3403.38	0.0	0.0	0.32	3402.88	0.0	0.0	0.32
/film/film/distributors./film/film_film_distributor_relationship/region	10	81.0	50.0	50.0	50.34	16.4	60.0	55.0	57.12
/film/film/other_crew./film/film_crew_gig/crewmember	26	432.77	32.69	3.85	12.77	425.04	34.62	5.77	15.06
/organization/organization/headquarters./location/mailing_address/state_province_region	39	403.58	47.44	19.23	27.81	377.79	48.72	19.23	29.06
/education/field_of_study/students_majoring./education/education/major_field_of_study	11	29.45	9.09	0.0	6.57	21.09	31.82	0.0	11.05
/base/locations/continents/countries_within	5	22.7	50.0	50.0	51.42	7.5	80.0	50.0	56.86
/award/award_winning_work/awards_won./award/award_honor/award	118	93.43	13.14	0.42	5.03	78.37	28.39	2.97	10.4
/organization/organization/child./organization/organization_relationship/child	20	860.8	22.5	5.0	11.18	858.88	25.0	15.0	18.72
/film/film/genre	722	363.95	35.94	1.18	9.19	186.09	45.64	19.46	28.65
/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics	31	62.11	33.87	19.35	23.89	17.39	45.16	24.19	32.33
/people/person/place_of_birth	170	1411.34	14.12	2.06	5.96	1390.88	14.12	2.06	6.11
/language/human_language/countries_spoken_in	25	44.6	48.0	8.0	18.85	36.42	62.0	16.0	30.07
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend	1	43.5	50.0	0.0	10.61	41.0	50.0	0.0	10.65
/education/educational_institution/campuses	13	19.19	61.54	23.08	37.41	19.19	61.54	23.08	37.41
/base/culturalevent/event/entity_involved	20	477.3	40.0	5.0	14.38	474.48	47.5	12.5	25.04
/award/award_category/winners./award/award_honor/award_winner	217	357.0	24.19	2.07	8.6	341.65	37.56	5.99	15.31
