Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/people/ethnicity/geographic_distribution	17	91.91	50.0	17.65	0.297	84.71	64.71	29.41	0.435
/music/performance_role/track_performances./music/track_contribution/role	53	65.77	0.94	0.0	0.02	22.35	23.58	2.83	0.098
/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person	7	1383.07	42.86	28.57	0.364	1366.14	57.14	42.86	0.49
/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language	21	46.19	52.38	26.19	0.347	5.79	88.1	54.76	0.648
/award/award_winning_work/awards_won./award/award_honor/honored_for	10	33.2	0.0	0.0	0.053	21.25	90.0	5.0	0.271
/base/petbreeds/city_with_dogs/top_breeds./base/petbreeds/dog_city_relationship/dog_breed	21	24.52	50.0	0.0	0.118	1.74	97.62	71.43	0.825
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	16	40.84	50.0	0.0	0.135	36.28	81.25	3.13	0.315
/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school	42	39.36	34.52	2.38	0.117	30.61	48.81	7.14	0.203
/tv/tv_program/genre	94	50.71	36.7	1.06	0.112	27.12	65.43	26.06	0.388
/film/film/film_festivals	18	102.86	44.44	16.67	0.283	95.03	52.78	25.0	0.34
/location/location/contains	330	331.2	41.21	2.88	0.161	222.3	49.24	22.73	0.318
/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source	84	472.85	50.0	50.0	0.501	37.63	57.74	51.19	0.533
/sports/sports_league/teams./sports/sports_league_participation/team	16	31.44	53.13	43.75	0.471	17.66	84.38	59.38	0.652
/people/person/spouse_s./people/marriage/spouse	4	3403.38	0.0	0.0	0.003	3402.88	0.0	0.0	0.003
/film/film/distributors./film/film_film_distributor_relationship/region	10	81.0	50.0	50.0	0.503	16.4	60.0	55.0	0.571
/film/film/other_crew./film/film_crew_gig/crewmember	26	432.77	32.69	3.85	0.128	425.04	34.62	5.77	0.151
/organization/organization/headquarters./location/mailing_address/state_province_region	39	403.58	47.44	19.23	0.278	377.79	48.72	19.23	0.291
/education/field_of_study/students_majoring./education/education/major_field_of_study	11	29.45	9.09	0.0	0.066	21.09	31.82	0.0	0.111
/base/locations/continents/countries_within	5	22.7	50.0	50.0	0.514	7.5	80.0	50.0	0.569
/award/award_winning_work/awards_won./award/award_honor/award	118	93.43	13.14	0.42	0.05	78.37	28.39	2.97	0.104
/organization/organization/child./organization/organization_relationship/child	20	860.8	22.5	5.0	0.112	858.88	25.0	15.0	0.187
/film/film/genre	722	363.95	35.94	1.18	0.092	186.09	45.64	19.46	0.287
/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics	31	62.11	33.87	19.35	0.239	17.39	45.16	24.19	0.323
/people/person/place_of_birth	170	1411.34	14.12	2.06	0.06	1390.88	14.12	2.06	0.061
/language/human_language/countries_spoken_in	25	44.6	48.0	8.0	0.189	36.42	62.0	16.0	0.301
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend	1	43.5	50.0	0.0	0.106	41.0	50.0	0.0	0.106
/education/educational_institution/campuses	13	19.19	61.54	23.08	0.374	19.19	61.54	23.08	0.374
/base/culturalevent/event/entity_involved	20	477.3	40.0	5.0	0.144	474.48	47.5	12.5	0.25
/award/award_category/winners./award/award_honor/award_winner	217	357.0	24.19	2.07	0.086	341.65	37.56	5.99	0.153
/organization/organization/headquarters./location/mailing_address/country	7	294.5	42.86	42.86	0.434	226.14	57.14	42.86	0.469
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency	5	247.3	50.0	30.0	0.386	131.9	50.0	30.0	0.389
/olympics/olympic_games/sports	13	21.92	0.0	0.0	0.049	4.04	100.0	0.0	0.296
/sports/sports_team/sport	53	117.64	50.94	48.11	0.496	20.26	83.02	63.21	0.7
/people/profession/specialization_of	13	985.27	34.62	15.38	0.194	982.42	38.46	15.38	0.202
/award/award_category/winners./award/award_honor/ceremony	323	37.1	9.29	0.0	0.051	2.36	97.83	61.61	0.744
/music/instrument/instrumentalists	153	183.03	30.39	2.61	0.1	117.42	39.87	10.46	0.2
/medicine/disease/risk_factors	13	92.12	46.15	0.0	0.106	84.31	53.85	0.0	0.204
/award/award_winning_work/awards_won./award/award_honor/award_winner	24	93.63	16.67	0.0	0.062	90.92	27.08	0.0	0.085
/sports/sports_team/colors	77	223.89	44.16	3.9	0.178	161.69	50.65	21.43	0.322
/music/performance_role/guest_performances./music/recording_contribution/performance_role	2	20.5	0.0	0.0	0.051	16.25	0.0	0.0	0.064
/award/ranked_item/appears_in_ranked_lists./award/ranking/list	48	85.86	50.0	28.13	0.372	47.24	67.71	50.0	0.571
/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency	3	159.67	50.0	33.33	0.421	45.0	50.0	33.33	0.425
/education/educational_degree/people_with_this_degree./education/education/institution	287	182.88	34.49	1.57	0.097	67.63	56.97	21.43	0.329
/film/film/costume_design_by	13	164.38	38.46	15.38	0.252	158.04	46.15	15.38	0.258
/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type	11	301.36	50.0	50.0	0.503	234.86	77.27	72.73	0.741
/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance	3	142.5	50.0	50.0	0.505	123.17	66.67	50.0	0.529
/film/film/written_by	26	595.02	19.23	1.92	0.078	593.62	21.15	1.92	0.086
/location/statistical_region/religions./location/religion_percentage/religion	60	57.31	16.67	0.83	0.069	34.09	76.67	32.5	0.492
/government/governmental_body/members./government/government_position_held/legislative_sessions	12	23.5	54.17	8.33	0.299	1.08	100.0	91.67	0.958
/education/university/fraternities_and_sororities	21	74.21	50.0	26.19	0.382	40.62	54.76	42.86	0.483
/soccer/football_team/current_roster./soccer/football_roster_position/position	10	352.75	50.0	0.0	0.123	69.2	50.0	30.0	0.404
/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation	20	28.2	50.0	0.0	0.205	1.88	100.0	52.5	0.713
